market_ticker,event_ticker,series_ticker,market_type,title,yes_sub_title,no_sub_title,result,result_binary,status,open_time,close_time,expected_expiration_time,volume,open_interest,tipoff_ts_used,tipoff_source,candle_ts,price_at_start_yes_bid,price_at_start_yes_ask,price_at_start_mid,price_at_start_last,n_candles_in_window
KXNBAGAME-26MAR28DETMIN-DET,KXNBAGAME-26MAR28DETMIN,KXNBAGAME,game_winner,Detroit at Minnesota Winner?,Detroit,Detroit,yes,1,finalized,2026-03-26T13:06:00Z,2026-03-29T00:01:05Z,2026-03-29T00:30:00Z,3466138.00,0.00,1774735200,expected_expiration-150m,1774735200,0.57,0.58,0.575,0.59,111
KXNBAGAME-26MAR27BKNLAL-LAL,KXNBAGAME-26MAR27BKNLAL,KXNBAGAME,game_winner,Brooklyn at Los Angeles L Winner?,Los Angeles L,Los Angeles L,yes,1,finalized,2026-03-25T19:06:00Z,2026-03-28T05:10:34Z,2026-03-28T05:30:00Z,2849793.00,0.00,1774666800,expected_expiration-150m,1774666800,0.94,0.95,0.945,0.95,107
KXNBAGAME-26MAR27WASGSW-WAS,KXNBAGAME-26MAR27WASGSW,KXNBAGAME,game_winner,Washington at Golden State Winner?,Washington,Washington,no,0,finalized,2026-03-25T16:06:00Z,2026-03-28T04:46:05Z,2026-03-28T05:00:00Z,2000118.00,0.00,1774665000,expected_expiration-150m,1774665000,0.06,0.07,0.065,0.07,110
KXNBAGAME-26MAR31TORDET-TOR,KXNBAGAME-26MAR31TORDET,KXNBAGAME,game_winner,Toronto at Detroit Winner?,Toronto,Toronto,no,0,finalized,2026-03-29T16:07:00Z,2026-04-01T02:51:54Z,2026-04-01T03:00:00Z,1172208.00,0.00,1775003400,expected_expiration-150m,1775003400,0.28,0.3,0.29000000000000004,0.3,111
KXNBAGAME-26MAR27ATLBOS-BOS,KXNBAGAME-26MAR27ATLBOS,KXNBAGAME,game_winner,Atlanta at Boston Winner?,Boston,Boston,yes,1,finalized,2026-03-25T16:06:00Z,2026-03-28T02:02:40Z,2026-03-28T02:30:00Z,3222739.00,0.00,1774656000,expected_expiration-150m,1774656000,0.43,0.44,0.435,0.44,111
KXNBAGAME-26MAR27BKNLAL-BKN,KXNBAGAME-26MAR27BKNLAL,KXNBAGAME,game_winner,Brooklyn at Los Angeles L Winner?,Brooklyn,Brooklyn,no,0,finalized,2026-03-25T19:06:00Z,2026-03-28T05:10:34Z,2026-03-28T05:30:00Z,4455989.00,0.00,1774666800,expected_expiration-150m,1774666800,0.04,0.06,0.05,0.06,111
KXNBAGAME-26MAR28UTAPHX-UTA,KXNBAGAME-26MAR28UTAPHX,KXNBAGAME,game_winner,Utah at Phoenix Winner?,Utah,Utah,no,0,finalized,2026-03-26T16:06:00Z,2026-03-29T04:30:42Z,2026-03-29T05:00:00Z,2423380.00,0.00,1774751400,expected_expiration-150m,1774751400,0.03,0.04,0.035,0.03,111
KXNBAGAME-26MAR27CHIOKC-CHI,KXNBAGAME-26MAR27CHIOKC,KXNBAGAME,game_winner,Chicago at Oklahoma City Winner?,Chicago,Chicago,no,0,finalized,2026-03-25T16:06:00Z,2026-03-28T02:36:20Z,2026-03-28T03:00:00Z,3031699.00,0.00,1774657800,expected_expiration-150m,1774657800,0.06,0.07,0.065,0.06,111
KXNBAGAME-26MAR27HOUMEM-MEM,KXNBAGAME-26MAR27HOUMEM,KXNBAGAME,game_winner,Houston at Memphis Winner?,Memphis,Memphis,no,0,finalized,2026-03-25T16:06:00Z,2026-03-28T02:24:22Z,2026-03-28T03:00:00Z,1041079.00,0.00,1774657800,expected_expiration-150m,1774657800,0.09,0.1,0.095,0.1,108
KXNBAGAME-26MAR27HOUMEM-HOU,KXNBAGAME-26MAR27HOUMEM,KXNBAGAME,game_winner,Houston at Memphis Winner?,Houston,Houston,yes,1,finalized,2026-03-25T16:06:00Z,2026-03-28T02:24:22Z,2026-03-28T03:00:00Z,884668.00,0.00,1774657800,expected_expiration-150m,1774657800,0.89,0.91,0.9,0.91,97
